image_path,prompt,size
assets/images/backgrounds/cta-1-bg-1.jpg,"Ảnh panorama nhà máy sản xuất pin điện thoại hiện đại, dây chuyền tự động chạy song song với đèn xanh lá tạo cảm giác năng lượng sạch.",1920x1280
assets/images/backgrounds/cta-2-bg-1.jpg,"Cận cảnh bàn tay kỹ sư cầm mô-đun pin smartphone phát sáng trong phòng thí nghiệm tối, độ sâu trường ảnh nhỏ.",1920x1281
assets/images/backgrounds/cta-3-bg-1.jpg,"Ảnh kho lưu trữ cell pin đóng trong hộp gỗ tái chế, ánh sáng tự nhiên chiếu xiên qua cửa sổ tạo cảm giác bền vững.",1894x489
assets/images/backgrounds/page-header-bg-1-1.jpg,Ảnh rộng khu kiểm định pin smartphone với hàng màn hình hiển thị số liệu và kỹ sư mặc đồ trắng.,1894x417
assets/images/blog/blog-author-1-1.jpg,"Chân dung kỹ sư trưởng người Việt trong phòng lab pin điện thoại, ánh sáng mềm và nền mờ.",167x167
assets/images/blog/blog-d-1-1.jpg,Ảnh macro tháo lắp pin lithium vào khung điện thoại với dụng cụ chính xác trên bàn trắng.,770x419
assets/images/blog/blog-grid-1.jpg,Ảnh kỹ sư đang soi cell pin dưới kính hiển vi trong phòng sạch.,370x244
assets/images/blog/blog-grid-2.jpg,Ảnh nhóm nghiên cứu trình bày bảng mạch quản lý pin bên cạnh smartphone.,370x244
assets/images/blog/blog-grid-3.jpg,Ảnh macro dây chuyền ép lớp cực pin với ánh sáng kỹ thuật.,370x244
assets/images/blog/blog-grid-4.jpg,Ảnh đóng gói pin điện thoại vào hộp thân thiện môi trường với nhãn xanh.,370x244
assets/images/blog/blog-grid-5.jpg,Ảnh concept smartphone đặt trên bàn cùng mô-đun pin và cảm biến nhiệt.,370x244
assets/images/blog/blog-grid-6.jpg,Ảnh minh hoạ dữ liệu hiệu suất pin hiển thị trên màn hình cảm ứng lớn.,370x244
assets/images/blog/blog-s-1-1.jpg,Ảnh 3/4 kỹ sư trẻ đang hiệu chỉnh máy thử pin.,78x78
assets/images/blog/blog-s-1-2.jpg,"Ảnh bàn làm việc với cell pin, kính bảo hộ và sổ tay ghi chép.",78x78
assets/images/blog/blog-s-1-3.jpg,Ảnh nhân viên kiểm tra nhiệt độ pin bằng camera hồng ngoại.,78x78
assets/images/blog/comment-1-1.jpg,"Ảnh chân dung khách hàng trẻ cầm điện thoại, đèn studio dịu và hậu cảnh xưởng pin.",167x167
assets/images/blog/comment-1-2.jpg,"Ảnh chân dung doanh nhân nam trao đổi về giải pháp pin, nền là màn hình hiển thị dữ liệu năng lượng.",167x167
assets/images/main-slider/main-slider-1-1.jpg,"Ảnh hero: dây chuyền lắp ráp pin smartphone quy mô lớn, camera góc rộng với đèn xanh neon nhưng nền tổng thể tối, có vùng gradient đậm bên trái để đặt chữ trắng.",1894x826
assets/images/main-slider/main-slider-1-2.jpg,"Ảnh hero: cận cảnh mô-đun pin lithium đặt trên bàn phản chiếu, ánh sáng điểm nhấn xanh dương, nền phòng lab tối bokeh nhẹ để chữ trắng nổi bật.",1894x826
assets/images/main-slider/main-slider-2-1.jpg,"Ảnh hero: đội ngũ kỹ sư quan sát màn hình điều khiển pin thông minh, ánh sáng trắng xanh dịu, nền tối với vùng chuyển màu đậm không quá chói để hỗ trợ chữ trắng.",1894x905
assets/images/main-slider/main-slider-2-2.jpg,"Ảnh hero: concept smartphone phát sáng cùng mô hình cell pin, nền đen/tím sâu với tia sáng nhẹ, bố cục chừa khoảng tối rộng cho chữ màu trắng.",1894x905
assets/images/projects/project-1-1.jpg,Ảnh mô-đun pin smartphone dạng khối xếp lớp trên bàn kim loại.,370x452
assets/images/projects/project-1-2.jpg,"Ảnh dây chuyền đóng cell pin thành pack hoàn chỉnh, robot làm việc.",370x452
assets/images/projects/project-1-3.jpg,Ảnh kỹ sư đang thử độ giãn nở pin bằng máy đo lực.,370x452
assets/images/projects/project-1-4.jpg,Ảnh lắp pin vào thân điện thoại trong khu vực chống tĩnh điện.,370x452
assets/images/projects/project-1-5.jpg,Ảnh test rung và va đập cho pin điện thoại với thiết bị chuyên dụng.,370x452
assets/images/projects/project-1-6.jpg,Ảnh vận chuyển pallet pin hoàn thiện trong kho sạch.,370x452
assets/images/projects/project-2-1.jpg,Ảnh phòng lab mô phỏng nhiệt pin với nhiều cảm biến gắn vào cell.,570x452
assets/images/projects/project-2-2.jpg,Ảnh sơ đồ kết nối pin với bo mạch thử nghiệm trên bàn tối.,570x452
assets/images/projects/project-2-3.jpg,Ảnh kỹ sư nữ kiểm tra pin bằng kính hiển vi điện tử để kiểm soát lỗi.,570x452
assets/images/projects/project-2-4.jpg,Ảnh tháp lưu trữ pin mẫu theo từng lô với nhãn mã QR.,570x452
assets/images/projects/project-d-1-1.jpg,Ảnh tổng thể dây chuyền sản xuất pin thể rắn dành cho smartphone cao cấp.,1170x532
assets/images/projects/project-d-2-1.jpg,"Ảnh bàn làm việc với cell pin, cảm biến và laptop hiển thị biểu đồ chu kỳ sạc.",270x362
assets/images/projects/project-d-2-2.jpg,Ảnh kỹ sư kiểm tra cell pin bằng kẹp đo điện áp trong phòng sạch.,270x422
assets/images/resources/about-1-1.jpg,Ảnh kỹ sư nữ đeo kính bảo hộ quan sát mô-đun pin smartphone trong phòng sạch.,650x692
assets/images/resources/about-1-2.jpg,Ảnh góc trên dây chuyền lắp ráp cell pin với các cánh tay robot.,450x322
assets/images/resources/about-2-1.jpg,Ảnh họp nhóm chiến lược pin với bảng trắng ghi chú và laptop mở đồ thị.,269x269
assets/images/resources/about-2-2.jpg,"Ảnh kho lưu trữ pin đóng hộp, ánh sáng vàng ấm.",571x570
assets/images/resources/about-3-1.png,"Ảnh bố cục phẳng gồm smartphone tháo nắp, cell pin, dụng cụ và các ghi chú kỹ thuật trên nền xanh.",76x76
assets/images/resources/about-3-2.jpg,Ảnh phòng lab với các tủ máy thử sạc xả đang chạy đồng thời.,510x539
assets/images/resources/blog-cta-1.png,Minh hoạ 3D pin điện thoại phát sáng đặt cạnh biểu đồ năng lượng dạng hologram.,270x119
assets/images/resources/contact-1-1.jpg,Ảnh đội ngũ tư vấn kỹ thuật đang trò chuyện với khách hàng trước mô hình pin.,471x471
assets/images/resources/cta-3-1.jpg,Ảnh nhân viên vận hành kiểm tra pallet pin trước khi giao hàng.,330x432
assets/images/resources/cta-3-2.jpg,Ảnh cận cảnh tay đeo găng viết báo cáo thử nghiệm pin trên tablet.,270x272
assets/images/resources/feature-1-1.jpg,Ảnh dây chuyền cán cực pin với ánh sáng công nghiệp hiện đại.,570x502
assets/images/resources/footer-post-1.png,Ảnh thumbnail mô tả smartphone mở nắp pin và dụng cụ tháo lắp.,70x69
assets/images/resources/footer-post-2.png,Ảnh thumbnail mô tả cell pin đặt trên bàn với biểu đồ hiệu suất phía sau.,70x69
assets/images/resources/sign-1-1.png,Chữ ký viết tay phong cách kỹ sư với nét bút kỹ thuật số màu xanh.,153x50
assets/images/resources/testimonials-1-1.jpg,Chân dung khách hàng nam trung niên cầm điện thoại tại khu sản xuất pin.,92x92
assets/images/resources/testimonials-1-2.jpg,Chân dung nữ quản lý sản phẩm đứng trước dây chuyền pin.,92x92
assets/images/resources/testimonials-1-3.jpg,Chân dung doanh nhân trẻ với máy tính bảng hiển thị dashboard pin.,92x92
assets/images/resources/video-1-1.jpg,Ảnh tĩnh từ video tour nhà máy pin với camera robot quay dây chuyền.,651x754
assets/images/services/service-1-1.jpg,Ảnh ý tưởng pin smartphone đặt trên giá trưng bày với ánh sáng studio xanh.,370x282
assets/images/services/service-1-2.jpg,"Ảnh kiểm tra cell pin bằng máy đo nội trở, đôi tay đeo găng.",370x282
assets/images/services/service-1-3.jpg,Ảnh kỹ sư tư vấn giải pháp pin cho khách hàng trước màn hình lớn.,370x282
assets/images/services/service-2-1.jpg,Ảnh dây chuyền gắn cell pin vào khung nhôm sáng bóng.,288x227
assets/images/services/service-2-2.jpg,Ảnh khu tái chế vật liệu pin với máy nghiền và hệ thống lọc.,288x227
assets/images/services/service-2-3.jpg,Ảnh thiết bị sạc nhanh thử nghiệm nhiều điện thoại cùng lúc.,288x227
assets/images/services/service-2-4.jpg,Ảnh pin dự phòng công nghiệp đặt trên kệ sạc với màn hình trạng thái.,288x227
assets/images/services/service-d-1-1.jpg,Ảnh macro cấu trúc lớp pin lithium thể rắn dưới ánh sáng dramatic.,770x432
assets/images/services/service-d-1-2.jpg,Ảnh kỹ sư viết ghi chú cạnh bo mạch quản lý pin mở nắp.,370x252
assets/images/services/service-widget-bg-1.jpg,Ảnh nền hơi mờ của nhà máy pin nhìn từ trên cao với ánh sáng vàng.,370x332
assets/images/team/team-1-1.jpg,"Chân dung CEO đội mũ bảo hộ, đứng trong nhà máy pin, ánh sáng trắng.",300x342
assets/images/team/team-1-2.jpg,Chân dung trưởng phòng R&D cầm cell pin trong tay và mỉm cười.,300x342
assets/images/team/team-1-3.jpg,Chân dung trưởng bộ phận kiểm định với clipboard trước tủ thử nghiệm.,300x342
